ChartSource,Season,Japanese Title,Romaji Title,English Title,Additional Titles,Medium,Continuing,Summary,Tags,StartDate,Episodes,Images,Studios,Amazon,Amazon Instant Video Us,Anidb,Anilist,Anime-Planet,Anisearch,Comic Festa Anime Zone,Crunchyroll,Funimation,Hulu,Kitsu,Mal,Mal2,Netflix,Official Site,Official Site2,Preview,Twitter,Twitter2,Website,Youtube,Youtube2
"AniChart (101385), Livechart (3192)",Spring-2018,フューチャーカード バディファイト バッツ オールスターファイト,Future Card Buddyfight X: All-Star Fight,Future Card Buddyfight X: All-Star Fight,", Future Card Buddyfight, Future Card Buddyfight Battsu",,False,"(From AniChart)
The fifth season of <i>Future Card Buddyfight</i>.
(From Livechart)
No synopsis has been added to this title.",Game,07/04/2018 19:00 +0900,0,"https://cdn.anilist.co/img/dir/anime/reg/101385-Y1YTOquyit5D.jpg, https://u.livechart.me/anime/poster_images/3192/5b1d314727b02426cbc5ac7064871415:small.jpg",Studio TBD,,,http://anidb.net/a13984,https://anilist.co/anime/101385,,,,,,,,http://myanimelist.net/anime/37611,https://myanimelist.net/anime/37611,,,,,https://twitter.com/buddyfight,,http://tv-aichi.co.jp/fc-buddyfightX/,,
AniChart (98575),Spring-2018,To Be Heroing,To Be Heroing,To Be Heroing,,TV,False,"(From AniChart)
The second season of To Be Hero.",Comedy,19/05/2018 08:00 +0900,7,https://cdn.anilist.co/img/dir/anime/reg/98575-KArBuIvhNPIH.jpg,Haoliners Animation League,,,,https://anilist.co/anime/98575,,,,,,,,http://myanimelist.net/anime/35044,,,http://tobe-hero.com/top-2/,,,https://twitter.com/to_be_hero,,,www.youtube.com/watch?v=dm--x6ce873,
AniChart (100401),Spring-2018,ピアノの森 (TV),Piano no Mori (TV),Piano no Mori (TV),,TV,False,"(From AniChart)
A tranquil tale about two boys from very different upbringings. On one hand you have Kai, born as the son of a prostitute, who's been playing the abandoned piano in the forest near his home ever since he was young. And on the other you have Shuuhei, practically breast-fed by the piano as the son of a family of prestigious pianists. Yet it is their common bond with the piano that eventually intertwines their paths in life.<br><br>

(Source: KEFI)","Drama, Music",10/04/2018 11:10 +0900,0,https://cdn.anilist.co/img/dir/anime/reg/100401-frKNiXOnRKdu.jpg,,,,,https://anilist.co/anime/100401,,,,,,,,http://myanimelist.net/anime/36652,,,http://piano-anime.jp/,,,https://twitter.com/piano_anime_tv,,,www.youtube.com/watch?v=jOfvuIXH9QA,
AniChart (100408),Spring-2018,蒼天の拳REGENESIS,Souten no Ken: REGENESIS,Fist of the Blue Sky: REGENESIS,,TV,False,"(From AniChart)
A mysterious man known as ""the King of Death"" roams the streets of pre-war Shanghai in this action-packed prequel to Fist of the North Star.<br><br>
Shanghai in the 1930s is a dangerous place. Foreign governments and Chinese factions have carved the city into different quarters, each with its own laws and government, and all rife with corruption. As the major powers vie for political control, the streets are left to local gangs. Life is cheap, and death is always near.<br><br>
In days past, one man walked these mean streets battling the forces of evil. He was known only as Yan Wang, ""the King of Death."" Few knew who he really was, but many knew that he was a master of Hokuto Shinken - Fist of the North Star - a lethal martial art. He disappeared years ago after dispatching the city's worst gangsters, and is now rumored to be in Japan. Various people have come to Japan in search of him, but who will find him first?",Action,03/04/2018 11:30 +0900,0,https://cdn.anilist.co/img/dir/anime/reg/100408-0S93Zk4507xR.jpg,POLYGON PICTURES,,,,https://anilist.co/anime/100408,,,,,,,,http://myanimelist.net/anime/36655,,,http://www.souten-regenesis.com/,,,https://twitter.com/soutenregenesis,,,www.youtube.com/watch?v=FP_PwU-o6UY,
"AniChart (99131), Livechart (2734)",Spring-2018,こみっくがーるず,Comic Girls,Comic Girls,,,False,"(From AniChart)
The manga's story centers on the 15-year-old high school student and manga creator Kaoruko Moeta, who uses the pen name Chaos. After ranking at the bottom of a reader survey, Kaoruko's editor recommends that she enter an all-female dormitory for manga creators. Kaoruko's roommates are shoujo manga creator Koyume Koizuka, teen romance manga creator Ruki Irokawa, and shounen manga creator Tsubasa Katsuki. The girls support each other as they work to become better manga creators.<br><br>

(Source: ANN)
(From Livechart)
Moeta Kaoruko ia a 15-year-old high school student and manga creator, who uses the pen name Chaos. After ranking at the bottom of a reader survey, Kaoruko's editor recommends that she enter an all-female dormitory for manga creators. Kaoruko's roommates are shoujo manga creator Koizuka Koyume, teen romance manga creator Irokawa Ruki, and shounen manga creator Katsuki Tsubasa. The girls support each other as they work to become better manga creators.
(Source: Anime News Network)","Comedy, Slice of Life",05/04/2018 22:00 +0900,0,"https://cdn.anilist.co/img/dir/anime/reg/99131-RM11J08LSx9q.jpg, https://u.livechart.me/anime/poster_images/2734/791558e646da0cc2de74e97666e877a0:small.jpg",Nexus,,,http://anidb.net/a13238,https://anilist.co/anime/99131,http://www.anime-planet.com/anime/comic-girls,https://www.anisearch.com/anime/12551,,,,,https://kitsu.io/anime/13722,http://myanimelist.net/anime/35756,https://myanimelist.net/anime/35756,,http://comic-girls.com/,,https://www.youtube.com/watch?v=iWIpU_htE0Y,https://twitter.com/comiga_anime,,http://comic-girls.com,www.youtube.com/watch?v=iWIpU_htE0Y,
"AniChart (100673), Livechart (3001)",Spring-2018,ひそねとまそたん,Hisone to Maso-tan,Hisone to Maso-tan,,,False,"(From AniChart)
Straightforward and innocent Hisone Amakasu is a Self-Defense Force rookie stationed at the Air Self-Defense Force's Gifu Base. She was struggling with the fact that she sometimes hurts people unintentionally by her innocent words and decided to join the Air Self-Defence Force, hoping to maintain a certain distance from people. This decision led her to a fateful encounter which profoundly changed her life. It was the ""OTF"" dragon hidden in the base and it chose Hisone as his pilot. When it soared into the sky with Hisone, her fate as a dragon pilot was decided. It is said that dragons have a key to the future of the world…<br><br>

(Source: Official website)
(From Livechart)
Straightforward and innocent Amakasu Hisone is a rookie self-defense official. She was struggling with the fact that she sometimes hurts people unintentionally by her innocent words and decided to join in Air Self-Defence, hoping to maintain a certain distance from people. This decision led her to a fateful encounter which profoundly changes her life. It was the dragon hidden in the base and it chose Hisone as his pilot. When it soared into the sky with Hisone, her fate as a dragon pilot was decided. It is said that dragons have a key to the future of the world...","Drama, Fantasy, Military",13/04/2018 12:00 +0900,0,"https://cdn.anilist.co/img/dir/anime/reg/100673-Juc7E2f2p2fS.jpg, https://u.livechart.me/anime/poster_images/3001/9366c8c753fe7e0a11902d619dc6ffc6:small.jpg",BONES,,,http://anidb.net/a13625,https://anilist.co/anime/100673,http://www.anime-planet.com/anime/hisone-to-masotan,https://www.anisearch.com/anime/13187,,,,,https://kitsu.io/anime/14042,http://myanimelist.net/anime/36884,https://myanimelist.net/anime/36884,,http://hisomaso.com/,,https://www.youtube.com/watch?v=eHdeaxvdrFc,https://twitter.com/hisomaso_anime,,http://hisomaso.com,www.youtube.com/watch?v=eHdeaxvdrFc,
AniChart (100166),Spring-2018,僕のヒーローアカデミア 3,Boku no Hero Academia 3,My Hero Academia 3,,TV,False,"(From AniChart)
The third season of <i>Boku no Hero Academia</i>.","Superhero, Super Power, Shounen, Action, Comedy",07/04/2018 04:30 +0900,25,https://cdn.anilist.co/img/dir/anime/reg/100166-l8ZWtz9oWdXd.jpg,BONES,,,,https://anilist.co/anime/100166,,,,,,,,http://myanimelist.net/anime/36456,,,http://heroaca.com/,,,https://twitter.com/heroaca_anime,,,www.youtube.com/watch?v=JezE6iZUWxo,
"AniChart (100179), Livechart (2906)",Spring-2018,多田くんは恋をしない,Tada-kun wa Koi wo Shinai,Tada-kun wa Koi wo Shinai,", Tada-kun Does Not Fall in Love",,False,"(From AniChart)
Mitsuyoshi Tada, a boy who has never known love, is taking pictures of the cherry blossoms in full bloom when he meets Teresa Wagner, a transfer student from Luxembourg. Upon arriving in Japan, she got lost, separated from her travel companion. Mitsuyoshi helps her and brings her to his grandfather's coffee shop.<br><br>

(Source: ANN)
(From Livechart)
Mitsuyoshi Tada, a boy who has never known love, is taking pictures of the cherry blossoms in full bloom when he meets Teresa Wagner, a transfer student from Luxembourg. Upon arriving in Japan, she got lost, separated from her travel companion. Mitsuyoshi helps her and brings her to his grandfather's coffee shop.
(Source: Anime News Network)","Romance, Comedy",05/04/2018 20:00 +0900,0,"https://cdn.anilist.co/img/dir/anime/reg/100179-jDGTOMxtoDkt.jpg, https://u.livechart.me/anime/poster_images/2906/270ee5e715d8898bfb640e01690eac67:small.jpg",Doga Kobo,,,http://anidb.net/a13492,https://anilist.co/anime/100179,http://www.anime-planet.com/anime/tada-kun-wa-koi-wo-shinai,https://www.anisearch.com/anime/12864,,,,,https://kitsu.io/anime/13888,http://myanimelist.net/anime/36470,https://myanimelist.net/anime/36470,,http://tadakoi.tv/,,https://www.youtube.com/watch?v=4LCOgIeRCh0,https://twitter.com/tadakoi_anime,,http://tadakoi.tv,www.youtube.com/watch?v=4LCOgIeRCh0,
"AniChart (100183), Livechart (2909)",Spring-2018,ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,Sword Art Online Alternative: Gun Gale Online,Sword Art Online Alternative: Gun Gale Online,"SAO Alternative: Gun Gale Online, , , , Sword Art Online III, Sword Art Online 3rd Season",,False,"(From AniChart)
The story follows Karen Kohiruimaki, a 183-centimeter-tall (6-foot-tall) college student who's insecure about her height, and is bad at dealing with people in the real world. She enters the world of Gun Gale Online with her avatar, Ren, who is less than 150 centimeters (5 feet) tall and wears all pink. She meets a beautiful, brown-skinned female player who goes by Pitohui. They hit it off, but one day Pitohui pressures her to participate in ""Squad Jam,"" a team battle royale variation of the Bullet of Bullets tournament.<br>
<br>
(Source: ANN)
(From Livechart)
Kohiruimaki Karen is a 183-centimeter-tall college student who's insecure about her height and is bad at dealing with people in the real world. She enters the world of Gun Gale Online with her avatar, Llenn, who is less than 150 centimeters tall and wears all pink. She meets a beautiful, brown-skinned female player who goes by Pitohui. They hit it off but one day Pitohui pressures her to participate in ""Squad Jam"", a team Battle Royale variation of the Bullet of Bullets tournament.
(Source: Anime News Network)","Action, Fantasy, Sci-Fi, Adventure, Game, Romance, Shounen",08/04/2018 12:00 +0900,0,"https://cdn.anilist.co/img/dir/anime/reg/100183-v4S2sGAG3A24.jpg, https://u.livechart.me/anime/poster_images/2909/efc25417679a5ea7910993a8529baff4:small.jpg","Studio 3Hz, 3Hz",,,http://anidb.net/a13494,https://anilist.co/anime/100183,http://www.anime-planet.com/anime/sword-art-online-alternative-gun-gale-online,https://www.anisearch.com/anime/12853,,,,,https://kitsu.io/anime/13894,http://myanimelist.net/anime/36475,https://myanimelist.net/anime/36475,,http://gungale-online.net/,,https://www.dailymotion.com/video/x6grv6q,https://twitter.com/ggo_anime,,http://gungale-online.net,www.youtube.com/watch?v=dm--x6grv6q,
"AniChart (100957), Livechart (2781)",Spring-2018,ルパン三世 PART5,Lupin III: Part V,Lupin III: Part V,"Lupin Sansei Part V, Lupin Sansei: Adventure in France, , , Lupin the Third - The Italian Adventure, Lupin the Third Part 5",,False,"(From AniChart)
In the new series, Lupin III will travel to France — the home of his grandfather and namesake, Maurice Leblanc's master thief character Arsène Lupin.<br>
<br>
(Source: ANN)
(From Livechart)
No synopsis has been added to this title.","Action, Adventure, Comedy, Shounen",04/04/2018 12:29 +0900,0,"https://cdn.anilist.co/img/dir/anime/reg/100957-hp97dzDG5cTw.jpg, https://u.livechart.me/anime/poster_images/2781/535cac78011e0c5e2eb4c5ac47362cb5:small.jpg",Telecom Animation Film,,,http://anidb.net/a13266,https://anilist.co/anime/100957,,https://www.anisearch.com/anime/12738,,,,,https://kitsu.io/anime/13749,http://myanimelist.net/anime/35857,https://myanimelist.net/anime/35857,,https://lupin-pt5.com,,https://www.youtube.com/watch?v=8QYcM9Pplmc,https://twitter.com/Lupin_Pt5,,http://lupin-pt5.com,,
"AniChart (100715), Livechart (753)",Spring-2018,魔法少女 俺,Mahou Shoujo Ore,Magical Girl Ore,"Magical Girl Boy, I Am a Magical Girl",,False,"(From AniChart)
This story is about a 15-year-old girl who is a newbie idol in love with her best friend's brother who is also a popular idol. But she runs into a scary yakuza guy and finds out that her mother was an ex-magical girl, and the yakuza was her mascot. Her love interest gets kidnapped by demons that look like burly men with cute squirrel heads. So she contracts the yakuza to become a magical girl, which in this story means she turns into a handsome guy in a magical girl outfit. On top of that, her love interest shows an attraction toward her magical guy form. Her best friend turns out to be in love with her and also becomes a magical cross-dressing guy to save her life.<br></br>

Thus, their manager, who is a magical girl geek, then decides to turn them into an idol unit.<br></br>

(Source: MU)
(From Livechart)
""Love makes a girl stronger."" Saki Uno is working hard as part of the new idol unit, Magical Twin.
The one she admires most is Mohiro Mikage, who’s the older brother of her idol unit partner Sakuyo, and he’s also a member of the top idol unit STAR☆PRINCE. She would be willing to do anything for him, and one day, those feelings brought on a miracle. Saki ended up turning into a magical girl when she strongly wished to protect someone... But what she turned into wasn’t exactly what she was expecting...","Magic, Gender Bending, Parody, Henshin, Comedy, Fantasy, Mahou Shoujo",02/04/2018 21:00 +0900,0,"https://cdn.anilist.co/img/dir/anime/reg/100715-YP2B8SeGFtYO.jpg, https://u.livechart.me/anime/poster_images/753/e2c7854dfe7da3b2333fe2c253518e46:small.jpg",Pierrot Plus,,,http://anidb.net/a10770,https://anilist.co/anime/100715,http://www.anime-planet.com/anime/mahou-shoujo-ore,https://www.anisearch.com/anime/13092,,http://www.crunchyroll.com/magical-girl-ore,,,https://kitsu.io/anime/14072,http://myanimelist.net/anime/36902,https://myanimelist.net/anime/36902,,http://magicalgirl-ore.com/,,https://www.youtube.com/watch?v=Fegd5OvYSGA,https://twitter.com/magicalgirl_ore,,http://magicalgirl-ore.com,www.youtube.com/watch?v=ZtT9kSIEpUM,
AniChart (99693),Spring-2018,ペルソナ5アニメーション,Persona 5 The Animation,Persona 5 The Animation,"P5A, , , ",TV,False,"(From AniChart)
Ren Amamiya is about to enter his second year after transferring to Shujin Academy in Tokyo.<br>
Following a particular incident, his Persona awakens, and together with his friends they form the “Phantom Thieves of Hearts” to reform hearts of corrupt adults by stealing the source of their distorted desires.<br>
Meanwhile, bizarre and inexplicable crimes have been popping up one after another…<br>
Living an ordinary high school life in Tokyo during the day, the group maneuvers the metropolitan city as Phantom Thieves after hours.<br>
Let the curtain rise for this grand, picaresque story!
<br><br>
(Source: Official website)","School, Super Power, Mythology, Rehabilitation, Action, Fantasy, Supernatural",08/04/2018 11:30 +0900,0,https://cdn.anilist.co/img/dir/anime/reg/99693-aSdObZr9eBC4.jpg,A-1 Pictures,,,,https://anilist.co/anime/99693,,,,,,,,http://myanimelist.net/anime/36023,,,http://p5a.jp/,http://p5ausa.com/,,https://twitter.com/P5_anime,,,www.youtube.com/watch?v=dm--x6gti9l,
AniChart (100978),Spring-2018,ゲゲゲの鬼太郎(2018),Gegege no Kitarou (2018),Gegege no Kitarou (2018),,TV,False,"(From AniChart)
None","Comedy, Supernatural",01/04/2018 20:00 +0900,0,https://cdn.anilist.co/img/dir/anime/reg/100978-X48cl8wUJvgc.jpg,Toei Animation,,,,https://anilist.co/anime/100978,,,,,,,,http://myanimelist.net/anime/37140,,,http://www.toei-anim.co.jp/kitaro/,,,https://twitter.com/kitaroanime50th,,,www.youtube.com/watch?v=JL7nXF6BoOk,
"AniChart (99699), Livechart (2818)",Spring-2018,ゴールデンカムイ,Golden Kamuy,Golden Kamui,"Golden Kamuy, ",,False,"(From AniChart)
In the early twentieth century, Russo-Japanese War veteran Saichi “Immortal” Sugimoto scratches out a meager existence during the postwar gold rush in the wilderness of Hokkaido. When he stumbles across a map to a fortune in hidden Ainu gold, he sets off on a treacherous quest to find it. But Sugimoto is not the only interested party, and everyone who knows about the gold will kill to possess it! Faced with the harsh conditions of the northern wilderness, ruthless criminals and rogue Japanese soldiers, Sugimoto will need all his skills and luck—and the help of an Ainu girl named Asirpa—to survive.<br><br>

(Source: Viz Media)
(From Livechart)
In Hokkaido, the far northern lands of Japan, Sugimoto survived the Russo-Japanese war of the Meiji era. Nicknamed ""Invincible Sugimoto"" during the war, he now seeks the riches promised by the gold rush in hopes of saving the widowed wife of his now deceased comrade from the war. During his hunt for gold, he finds hints of a hidden stash of gold by corrupt criminals. Partnering with an Ainu girl that saves his life from the harsh climates of the north, they venture into a survival adventure in a race against the criminals that seek the hidden stash.
(Source: MangaHelpers)","Action, Adventure, Mystery, Historical, Seinen",09/04/2018 22:00 +0900,0,"https://cdn.anilist.co/img/dir/anime/reg/99699-vwSpHdiY2R3L.jpg, https://u.livechart.me/anime/poster_images/2818/cade815e333e5354d15b2d8a5336f2f7.png:small.jpg",Geno Studio,,,http://anidb.net/a13337,https://anilist.co/anime/99699,http://www.anime-planet.com/anime/golden-kamuy,https://www.anisearch.com/anime/12680,,,,,https://kitsu.io/anime/13689,http://myanimelist.net/anime/36028,https://myanimelist.net/anime/36028,,http://kamuy-anime.com/,,https://www.youtube.com/watch?v=5olutLS6mdo,https://twitter.com/kamuy_official,https://twitter.com/kamuy_anime,http://kamuy-anime.com,www.youtube.com/watch?v=5olutLS6mdo,
"AniChart (21879), Livechart (2264)",Spring-2018,イナズマイレブン アレスの天秤,Inazuma Eleven: Ares no Tenbin,Inazuma Eleven: Ares no Tenbin,,,False,"(From AniChart)
The story is set after the first Inazuma Eleven, but will take place in a parallel world from all other Inazuma Eleven games apart from the first because the story has taken a different course. In the story, protagonist Asuto Inamori's soccer club is disbanded after the school's soccer field is destroyed. He and friends go to Tokyo to attend Daimon-chuu (Daimon Junior High) to play soccer. <br><br>

(Source: ANN)
(From Livechart)
In the story, protagonist Asuto Inamori's soccer club is disbanded after the school's soccer field is destroyed. He and friends go to Tokyo to attend Daimon-chuu (Daimon Junior High) to play soccer. The story is set after the first Inazuma Eleven anime and game. However, the show will take place in a parallel world from all other Inazuma Eleven soccer role-playing games (apart from the first), because the story has taken a different course.
(Source: Anime News Network)","Shounen, Super Power, Sports",06/04/2018 16:55 +0900,0,"https://cdn.anilist.co/img/dir/anime/reg/21879-gmrD7sD2lzmX.jpg, https://u.livechart.me/anime/poster_images/2264/437a1af762aed39c48c279ced0a75d6d:small.jpg","Oriental Light and Magic, OLM",,,http://anidb.net/a12292,https://anilist.co/anime/21879,http://www.anime-planet.com/anime/inazuma-eleven-ares-no-tenbin,https://www.anisearch.com/anime/11977,,,,,https://kitsu.io/anime/12496,http://myanimelist.net/anime/33733,https://myanimelist.net/anime/33733,,http://www.inazuma.jp/ares/,,https://www.dailymotion.com/video/x6g2bj7,https://twitter.com/inazuma_project,,http://www.tv-tokyo.co.jp/anime/inazuma2018/,www.youtube.com/watch?v=dm--x6g2bj7,
