ChartSource,Season,Japanese Title,Romaji Title,English Title,Additional Titles,Medium,Continuing,Renewal,Summary,Tags,StartDate,Episodes,Runtime,Images,Studios,Anidb,Anilist,Anime-Planet,Anisearch,Crunchyroll,Crunchyroll2,Funimation,Hidive,Kitsu,Mal,Mal Id,Netflix,Official Site,Official Site2,Preview,Twitter,Twitter2,Vrv,Watch,Website
Anilist (http://anilist.co/anime/121645),Fall-2020,エタニティ 〜深夜の濡恋ちゃんねる♡〜,Eternity: Shinya no Nurekoi Channel,,,TV,False,False,Based on 12 works from adult women-oriented novel and manga label Eternity Books published by AlphaPolis.,Teens' Love,2020-10-05T00:00:00+09:00,12,0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b121645-XSUZpcfT5kO5.jpg,Seven,,,,,,,,,,,https://myanimelist.net/anime/None,,https://eternity-nurechan.com/,,,https://twitter.com/Eternity_Anime,,,,
Anilist (http://anilist.co/anime/122442),Fall-2020,Knight of Erin -Erin and Nighthawk-,Knight of Erin -Erin and Nighthawk-,,ナイトオブエリン,OVA,False,False,Based on the erotic doujin game by sugar star.,,2020-10-30T00:00:00+09:00,0,0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx122442-wmLnKvKG1QTY.jpg,Majin petit,,,,,,,,,,,https://myanimelist.net/anime/None,,,,,,,,,
Anilist (http://anilist.co/anime/123803),Fall-2020,無能なナナ ミニアニメ,Munou na Nana: Mini Anime,,Talentless Nana: Mini Anime,ONA,False,False,,,2020-10-04T00:00:00+09:00,0,0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b123803-frGulQh4dlMH.png,,,,,,,,,,,,https://myanimelist.net/anime/None,,https://munounanana.com/,,,https://twitter.com/munounanana,,,,
Anilist (http://anilist.co/anime/123845),Fall-2020,シコやかなるときもハメるときも,Shikoyakanaru Toki mo Hameru Toki mo,,,OVA,False,False,"<i>Daiero Onsen Monogatari</i><br>
<i>Gakeppuchi Koiuta</i>",,2020-11-20T00:00:00+09:00,2,0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx123845-lMS4JTUblrNw.jpg,Queen Bee,,,,,,,,,,,https://myanimelist.net/anime/None,,,,,,,,,
Livechart (9746),Fall-2020,炎炎ノ消防隊 弐ノ章,Enn Enn no Shouboutai: Ni no Shou,Fire Force Season 2,"Fire Brigade of Flames 2nd Chapter, Enen no Shouboutai 2nd Chapter, Fire Force 2nd Season, Enn Enn no Shouboutai 2nd Season, Enn Enn no Shouboutai 2nd Chapter, Fire Force 2nd Chapter, 불꽃 소방대 2장, 炎炎消防隊 貳之章, หน่วยผจญคนไฟลุก",TV,False,False,"(From Livechart)
Shinra and Company 8 have figured out the Evangelist’s goal: to gather Adolla Bursts from Shinra and Shou. After learning more about his past from Captain Burns, Shinra becomes more motivated to discover the truth about his mother and save Shou again.
But a mysterious girl known as the “First Pillar” reveals the Evangelist’s master plan to start another Great Cataclysm!
[Source: Funimation ]","Action, Shounen, Supernatural",2020-10-03T01:55:00+09:00,24,0,https://u.livechart.me/anime/9746/poster_image/eb1eee2e718aa6dba74f32bd28997f63.jpg?style=small&format=jpg,David Production,http://anidb.net/a15335,https://anilist.co/anime/114236,http://www.anime-planet.com/anime/fire-force-2nd-season,https://www.anisearch.com/anime/14850,http://www.crunchyroll.com/fire-force,,,,https://kitsu.io/anime/42909,https://myanimelist.net/anime/40956,,,,,/anime/9746/videos,https://twitter.com/FireForce_PR,,,/anime/9746/streams,http://fireforce-anime.jp
"Livechart (9613), Anilist (http://anilist.co/anime/112124)",Fall-2020,ダンジョンに出会いを求めるのは間違っているだろうか III,Dungeon ni Deai wo Motomeru no wa Machigatteiru no Darou ka III,Is It Wrong to Try to Pick Up Girls in a Dungeon? III,"Danmachi 3, Dungeon ni Deai wo Motomeru no wa Machigatteiru no Darou ka 3rd Season, Is It Wrong to Try to Pick Up Girls in a Dungeon? 3rd Season, ダンまIII, Danmachi III, ダンジョンに出会いを求めるのは間違っているだろうか FAMILIA MYTH III, Dungeon ni Deai o Motomeru no wa Machigatte Iru Darouka: Familia Myth III",TV,False,False,"(From Livechart)
Since ancient times, humans and monsters have waged bitter war against one another in the bowels of the treacherous dungeon beneath Orario. Enmity between these races is an accepted and immutable fact — or at least it was until Bell Cranel stumbled across a young, blue-skinned girl in the dungeon’s dark depths. When this inhuman young woman speaks to him in the language of human beings and looks at him with all-too-human eyes, the land of Orario erupts into turmoil the likes of which it has never seen.
[Source: Crunchyroll ]
The third season of <i>Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka</i>.","Action, Adventure, Comedy, Fantasy, Romance, Gods, Male Protagonist, Dungeon, Swordplay, Magic, Mythology, Harem, Primarily Female Cast, Gore, Archery, Elf, Kemonomimi, Shounen, Nekomimi",2020-10-03T12:30:00+09:00,0,0,"https://u.livechart.me/anime/9613/poster_image/4e3733c87bfa56425b16de6237fe2711.jpg?style=small&format=jpg, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx112124-Q2L0BdzThT39.jpg","J.C.Staff, J.C. Staff",http://anidb.net/a15111,https://anilist.co/anime/112124,http://www.anime-planet.com/anime/is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon-iii,https://www.anisearch.com/anime/14636,http://www.crunchyroll.com/is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon,https://www.crunchyroll.com/is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon,,https://www.hidive.com/tv/is-it-wrong-to-try-to-pick-up-girls-in-a-dungeon-iii,https://kitsu.io/anime/42583,https://myanimelist.net/anime/40454,,,,,/anime/9613/videos,https://twitter.com/danmachi_anime,,https://vrv.co/series/G6DQN9KGR/Is-It-Wrong-to-Try-to-Pick-Up-Girls-in-a-Dungeon,/anime/9613/streams,http://danmachi.com/danmachi3/
Livechart (9491),Fall-2020,進撃の巨人 The Final Season,Shingeki no Kyojin: The Final Season,Attack on Titan Final Season,"SnK 4, AoT 4, Shingeki no Kyojin 4th Season, Attack on Titan 4th Season, L'Attaque des Titans Saison 4, L’attaque des Titans Saison Finale, Ataque a los Titanes Temporada Final",TV,False,False,"(From Livechart)
With Eren and company now at the shoreline and the threat of Marley looming, what’s next for the Scouts and their quest to unravel the mysteries of the Titans, humanity, and more?
[Source: Funimation]","Action, Drama, Fantasy, Military, Mystery, Superpower",2020-12-07T12:10:00+09:00,0,0,https://u.livechart.me/anime/9491/poster_image/4f65efd6101009f013239ac7211f250f.jpg?style=small&format=jpg,MAPPA,http://anidb.net/a14977,https://anilist.co/anime/110277,http://www.anime-planet.com/anime/attack-on-titan-the-final-season,https://www.anisearch.com/anime/14484,http://www.crunchyroll.com/attack-on-titan,,,,https://kitsu.io/anime/42422,https://myanimelist.net/anime/40028,,,,,/anime/9491/videos,https://twitter.com/anime_shingeki,,,/anime/9491/streams,https://shingeki.tv/final/
"Livechart (9626), Anilist (http://anilist.co/anime/112300)",Fall-2020,魔法科高校の劣等生 来訪者編,Mahouka Koukou no Rettousei: Raihousha-hen,The Irregular at Magic High School: Visitor Arc,"Mahōka Kōkō no Rettōsei, Mahouka Koukou no Rettousei 2nd Season, The Irregular at Magic High School 2nd Season, The Irregular at Magic High School Season 2",TV,False,False,"(From Livechart)
※ NOTE: Second season of ""The Irregular at Magic High School""
October 31st, 2095. The southernmost tip of the Korean Peninsula was annihilated due to an unidentified Strategic-Class magic. Known as “Scorched Halloween,” this day marked the arrival of a new Strategic-Class magician who would shake up the world.
Sensing an impending crisis, the USNA secretly deploys Stars – the most powerful magician unit in the world – in a desperate attempt to uncover the truth about the unidentified Strategic-Class magic and the magician who used it. Approximately two months later, on December 24th, as people bustle through the city decorated with Christmas lights,
Tatsuya and his friends gather at Cafe Einebrise for a farewell party for Rei before she goes off to America as an exchange student for three months. According to her, a girl who is the same age as her will be entering Magic High School as her visiting counterpart.
Meanwhile, at the USNA Stars’ base, a girl prepares to go undercover to investigate First High School. Her name is Angelina Kudou Shields. She is the youngest person in the history of Stars to become commander, and as USNA’s most powerful magician she wields the Strategic-Class magic known as Heavy Metal Burst.
[Source: official English website ]
The second season of <i>Mahouka Koukou no Rettousei</i>.<br>
<br>
Miyuki Shiba’s classmate Kitayama Shizuku is on her way to study abroad. For magicians, this is normally impossible, since allowing the genes of someone who can use magic outside their home country’s borders is tantamount to giving up national secrets. But it’s allowed to happen in one case—exchange programs.<br>
<br>
And that’s how Angelina Kudou Shields, known as Lina, has arrived in Japan from the USNA to study at First High. Around the time Lina arrived in Japan, magicians began getting attacked by a mysterious being who leaves his victims drained of blood. Will Tatsuya and Miyuki Shiba be able to discover the identity of the “Vampire”?<br>
<br>
(Source: Funimation)","Magic, Romance, School, Sci-Fi, Shounen, Supernatural",2020-10-04T12:30:00+09:00,0,0,"https://u.livechart.me/anime/9626/poster_image/3dc13e5c0621c10943efc68db1307b63.jpg?style=small&format=jpg, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx112300-I5ucx66OvqWX.png","8bit, 8-bit",http://anidb.net/a15132,https://anilist.co/anime/112300,http://www.anime-planet.com/anime/the-irregular-at-magic-high-school-2,https://www.anisearch.com/anime/14657,,,https://www.funimation.com/shows/the-irregular-at-magic-high-school/,,https://kitsu.io/anime/42608,https://myanimelist.net/anime/40497,,,https://mahouka.jp/,,/anime/9626/videos,https://twitter.com/mahouka_anime,,,/anime/9626/streams,http://mahouka.jp
"Livechart (9680), Anilist (http://anilist.co/anime/113415)",Fall-2020,呪術廻戦,Jujutsu Kaisen,,"Sorcery Fight, Jujutsu Kaisen",TV,False,False,"(From Livechart)
A boy fights... for ""the right death.""
Hardship, regret, shame: the negative feelings that humans feel become Curses that lurk in our everyday lives. The Curses run rampant throughout the world, capable of leading people to terrible misfortune and even death. What's more, the Curses can only be exorcised by another Curse.
Itadori Yuji is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a friend who has been attacked by Curses, he eats the finger of the Double-Faced Specter, taking the Curse into his own soul. From then on, he shares one body with the Double-Faced Specter. Guided by the most powerful of sorcerers, Gojo Satoru, Itadori is admitted to the Tokyo Metropolitan Technical High School of Sorcery, an organization that fights the Curses... and thus begins the heroic tale of a boy who became a Curse to exorcise a Curse, a life from which he could never turn back.
[Source: Crunchyroll ]
A boy fights... for ""the right death.""<br>
<br>
Hardship, regret, shame: the negative feelings that humans feel become Curses that lurk in our everyday lives. The Curses run rampant throughout the world, capable of leading people to terrible misfortune and even death. What's more, the Curses can only be exorcised by another Curse.<br>
<br>
Itadori Yuji is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a friend who has been attacked by Curses, he eats the finger of the Double-Faced Specter, taking the Curse into his own soul. From then on, he shares one body with the Double-Faced Specter. Guided by the most powerful of sorcerers, Gojou Satoru, Itadori is admitted to the Tokyo Metropolitan Technical High School of Sorcery, an organization that fights the Curses... and thus begins the heroic tale of a boy who became a Curse to exorcise a Curse, a life from which he could never turn back.
<br><br>
(Source: Crunchyroll)<br>
<br>
<i>Note: The first episode received an early web premiere on September 19th, 2020. The regular TV broadcast started on October 3rd, 2020.</i>","Action, Demons, Fantasy, Shounen, Supernatural, Super Power, Male Protagonist, School, Body Horror",2020-10-03T01:25:00+09:00,0,0,"https://u.livechart.me/anime/9680/poster_image/28f487fe3996b4e4cc119edccd9d71da.jpg?style=small&format=jpg, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx113415-979nF8TZP2xC.jpg",MAPPA,http://anidb.net/a15275,https://anilist.co/anime/113415,http://www.anime-planet.com/anime/jujutsu-kaisen,https://www.anisearch.com/anime/14790,http://www.crunchyroll.com/jujutsu-kaisen,,,,https://kitsu.io/anime/42765,https://myanimelist.net/anime/40748,,,https://jujutsukaisen.jp/,,/anime/9680/videos,https://twitter.com/animejujutsu,,,/anime/9680/streams,https://jujutsukaisen.jp
"Livechart (9693), Anilist (http://anilist.co/anime/113538)",Fall-2020,ハイキュー!! TO THE TOP 第2クール,Haikyuu!!: To the Top 2nd Cour,,"Haikyuu!! New Series, ハイキュー!! 第4期 第2クール, Haikyuu!! 4th Season 2nd Cour, Haikyu!!: To the Top 2nd Season, HAIKYU‼ TO THE TOP Part 2, ハイキュー!! TO THE TOP 2",TV,False,False,"(From Livechart)
The Karasuno High School Volleyball team continues to reach TO THE TOP as the Nationals Tournament continues!
[Source: Crunchyroll ]
The second cour of <i>Haikyuu!! TO THE TOP</i>.","Comedy, Drama, School, Shounen, Sports, Volleyball, Male Protagonist, Primarily Male Cast, School Club, Twins, Coming of Age, CGI",2020-10-03T02:25:00+09:00,12,0,"https://u.livechart.me/anime/9693/poster_image/9fc6e8ee6242a62a6dca665fdf0821e2.png?style=small&format=jpg, https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx113538-7oaqaTNMpL6r.png",Production I.G,http://anidb.net/a15283,https://anilist.co/anime/113538,http://www.anime-planet.com/anime/haikyuu-to-the-top-part-ii,https://www.anisearch.com/anime/14832,http://www.crunchyroll.com/haikyu,,,,https://kitsu.io/anime/42938,https://myanimelist.net/anime/40776,,,,,/anime/9693/videos,https://twitter.com/animehaikyu_com,,,/anime/9693/streams,https://haikyu.jp/
